Station,Region,Latitude,Longitude,Name,City_Name,State
KMSS,northamerica,44.9333,-74.85,"Massena, NY",Massena, NY
KMSY,northamerica,30,-90.25,"New Orleans/intl, LA",New Orleans/intl, LA
KMTO,northamerica,39.4667,-88.2667,"Mattoon/charlest, IL",Mattoon/charlest, IL
KMWL,northamerica,32.7833,-98.0667,"Mineral Wells, TX",Mineral Wells, TX
KMYV,northamerica,39.1,-121.567,"Marysville, CA",Marysville, CA
KNEW,northamerica,30.05,-90.0333,"New Orleans/lake, LA",New Orleans/lake, LA
KNJK,northamerica,32.817,-115.683,"El Centro Naf, United states",El Centro Naf, United states
KNQI,northamerica,27.5,-97.817,"Kingsville Nas, United states",Kingsville Nas, United states
KNYC,northamerica,40.7833,-73.9667,"Nyc/central Park, NY",Nyc/central Park, NY
KNYL,northamerica,32.6333,-114.617,"Yuma Mcas, AZ",Yuma Mcas, AZ
KOAK,northamerica,37.7,-122.217,"Oakland, CA",Oakland, CA
KODX,northamerica,41.623,-98.948,"Evelyn Sharp Fld, United states",Evelyn Sharp Fld, United states
KOFK,northamerica,41.9833,-97.4333,"Norfolk, NE",Norfolk, NE
KOKC,northamerica,35.3833,-97.6,"Oklahoma City, OK",Oklahoma City, OK
KOMA,northamerica,41.3167,-95.9,"Omaha/eppley, NE",Omaha/eppley, NE
KONT,northamerica,34.05,-117.583,"Ontario, CA",Ontario, CA
KORD,northamerica,41.9833,-87.9333,"Chicago O'hare, IL",Chicago O'hare, IL
KORF,northamerica,36.9,-76.2,"Norfolk, VA",Norfolk, VA
KORH,northamerica,42.2667,-71.8667,"Worcester, MA",Worcester, MA
KOSH,northamerica,43.9667,-88.55,"Oshkosh, WI",Oshkosh, WI
KOTM,northamerica,41.1,-92.45,"Ottumwa, IA",Ottumwa, IA
KOUN,northamerica,35.25,-97.467,"Norman/max Westheim, United states",Norman/max Westheim, United states
KOXR,northamerica,34.2,-119.2,"Oxnard, CA",Oxnard, CA
KOZA,northamerica,30.735,-101.203,"Ozona Muni, United states",Ozona Muni, United states
KPAH,northamerica,37.0667,-88.7667,"Paducah, KY",Paducah, KY
KPBG,northamerica,44.651,-73.468,"Plattsburgh Intl, United states",Plattsburgh Intl, United states
KPBI,northamerica,26.6833,-80.1,"West Palm Beach, FL",West Palm Beach, FL
KPDT,northamerica,45.7,-118.833,"Pendleton, OR",Pendleton, OR
KPDX,northamerica,45.5833,-122.6,"Portland, OR",Portland, OR
KPHL,northamerica,39.8667,-75.2333,"Philadelphia, PA",Philadelphia, PA
KPHX,northamerica,33.4333,-112.017,"Phoenix/sky Hrbr, AZ",Phoenix/sky Hrbr, AZ
KPIA,northamerica,40.6667,-89.6833,"Peoria, IL",Peoria, IL
KPIH,northamerica,42.9167,-112.567,"Pocatello, ID",Pocatello, ID
KPIT,northamerica,40.5,-80.2667,"Pittsburgh, PA",Pittsburgh, PA
KPKB,northamerica,39.35,-81.4167,"Parkersburg, WV",Parkersburg, WV
KPMD,northamerica,34.6333,-118.083,"Palmdale, CA",Palmdale, CA
KPNC,northamerica,36.7333,-97.1,"Ponca City, OK",Ponca City, OK
KPNS,northamerica,30.4833,-87.1833,"Pensacola, FL",Pensacola, FL
KPOF,northamerica,36.7667,-90.3167,"Popular Bluff, MO",Popular Bluff, MO
KPOU,northamerica,41.6333,-73.8833,"Poughkeepsie, NY",Poughkeepsie, NY
KPPF,northamerica,37.3333,-95.5,"Parsons, KS",Parsons, KS
KPQI,northamerica,46.683,-68.05,"Presque Isle (awos), United states",Presque Isle (awos), United states
KPQN,northamerica,43.983,-96.3,"Pipestone Muni, United states",Pipestone Muni, United states
KPRB,northamerica,35.6667,-120.633,"Paso Robles, CA",Paso Robles, CA
KPRS,northamerica,29.4,-104.2,"Presidio Lely International Airport, TX",Presidio Lely International Airport, TX
KPRX,northamerica,33.6366,-95.4507,"Paris, TX",Paris, TX
KPSC,northamerica,46.2667,-119.117,"Pasco, WA",Pasco, WA
KPSP,northamerica,33.8167,-116.5,"Palm Springs, CA",Palm Springs, CA
KPSX,northamerica,28.725,-96.254,"Palacios Muni, United states",Palacios Muni, United states
KPTV,northamerica,36.029,-119.063,"Porterville Muni, United states",Porterville Muni, United states
KPUB,northamerica,38.283,-104.5,"Pueblo, CO",Pueblo, CO
KPVD,northamerica,41.7167,-71.4333,"Providence/green, RI",Providence/green, RI
KPVU,northamerica,40.2192,-111.723,"Provo Airport, UT",Provo Airport, UT
KPWM,northamerica,43.65,-70.3,"Portland, ME",Portland, ME
KRAL,northamerica,33.95,-117.45,"Riverside, CA",Riverside, CA
KRAP,northamerica,44.05,-103.05,"Rapid City, SD",Rapid City, SD
KRBL,northamerica,40.15,-122.25,"Red Bluff, CA",Red Bluff, CA
KRDD,northamerica,40.5167,-122.3,"Redding, CA",Redding, CA
KRDG,northamerica,40.3667,-75.9667,"Reading, PA",Reading, PA
KRDU,northamerica,35.8667,-78.7833,"Raleigh/durham, NC",Raleigh/durham, NC
KRFD,northamerica,42.2,-89.1,"Rockford, IL",Rockford, IL
KRIC,northamerica,37.5167,-77.3167,"Richmond, VA",Richmond, VA
KRIV,northamerica,33.8667,-117.267,"Riverside/march, CA",Riverside/march, CA
KRKS,northamerica,41.5947,-109.053,"Rock Springs Ap, WY",Rock Springs Ap, WY
KRME,northamerica,43.234,-75.407,"Griffiss Airpark, United states",Griffiss Airpark, United states
KRNM,northamerica,33.0333,-116.917,"Ramona, CA",Ramona, CA
KRNO,northamerica,39.4833,-119.767,"Reno, NV",Reno, NV
KROA,northamerica,37.3167,-79.9667,"Roanoke, VA",Roanoke, VA
KROC,northamerica,43.1167,-77.6833,"Rochester, NY",Rochester, NY
KROW,northamerica,33.3,-104.5,"Roswell, NM",Roswell, NM
KRST,northamerica,43.9,-92.5,"Rochester, MN",Rochester, MN
KRWF,northamerica,44.55,-95.0833,"Redwood Fall, MN",Redwood Fall, MN
KRWI,northamerica,35.85,-77.9,"Rocky Mount, NC",Rocky Mount, NC
KSAC,northamerica,38.5,-121.5,"Sacramento, CA",Sacramento, CA
KSAN,northamerica,32.7333,-117.183,"San Diego, CA",San Diego, CA
KSAT,northamerica,29.5333,-98.4667,"San Antonio, TX",San Antonio, TX
KSAV,northamerica,32.1167,-81.2,"Savannah, GA",Savannah, GA
KSAW,northamerica,46.35,-87.4,"Gwinn/sawyer, MI",Gwinn/sawyer, MI
KSBA,northamerica,34.4333,-119.85,"Santa Barbara, CA",Santa Barbara, CA
KSBN,northamerica,41.7,-86.3167,"South Bend, IN",South Bend, IN
KSBY,northamerica,38.3333,-75.5,"Salisbury, MD",Salisbury, MD
KSCK,northamerica,37.8833,-121.217,"Stockton, CA",Stockton, CA
KSDF,northamerica,38.1833,-85.7333,"Louisville, KY",Louisville, KY
KSEA,northamerica,47.45,-122.317,"Seattle, WA",Seattle, WA
KSEG,northamerica,40.8167,-76.8667,"Selinsgrove, PA",Selinsgrove, PA
KSEP,northamerica,32.2167,-98.1667,"Stephenville, TX",Stephenville, TX
KSET,northamerica,38.9333,-90.4333,"St. Charles, MO",St. Charles, MO
KSFO,northamerica,37.6167,-122.367,"San Francisco, CA",San Francisco, CA
KSGF,northamerica,37.2333,-93.3833,"Springfield, MO",Springfield, MO
KSGR,northamerica,29.622,-95.656,"Suger Land Rgnl, United states",Suger Land Rgnl, United states
KSHR,northamerica,44.7667,-106.967,"Sheridan, WY",Sheridan, WY
KSHV,northamerica,32.45,-93.8333,"Shreveport, LA",Shreveport, LA
KSJC,northamerica,37.3667,-121.917,"San Jose, CA",San Jose, CA
KSJT,northamerica,31.3667,-100.5,"San Angelo, TX",San Angelo, TX
KSLC,northamerica,40.7833,-111.967,"Salt Lake City, UT",Salt Lake City, UT
KSLE,northamerica,44.9,-123,"Salem, OR",Salem, OR
KSLN,northamerica,38.7833,-97.65,"Salina, KS",Salina, KS
KSMF,northamerica,38.7,-121.6,"Sacramento/metro, CA",Sacramento/metro, CA
KSMP,northamerica,47.277,-121.337,"Stampede Pass, United states",Stampede Pass, United states
KSMX,northamerica,34.9,-120.45,"Santa Maria, CA",Santa Maria, CA
KSNK,northamerica,32.7,-100.95,"Snyder/winston, TX",Snyder/winston, TX
KSNS,northamerica,36.6667,-121.6,"Salinas, CA",Salinas, CA
KSNY,northamerica,41.1,-102.983,"Sidney, NE",Sidney, NE
KSOA,northamerica,30.586,-100.649,"Sonora Muni, United states",Sonora Muni, United states
KSPI,northamerica,39.85,-89.6833,"Springfield, IL",Springfield, IL
KSPS,northamerica,33.9833,-98.5,"Wichita Fall, TX",Wichita Fall, TX
KSPW,northamerica,43.1667,-95.2167,"Spencer, IA",Spencer, IA
KSRQ,northamerica,27.4,-82.5667,"Sarasota/bradent, FL",Sarasota/bradent, FL
KSSF,northamerica,29.3333,-98.4667,"S Antonio/stinsn, TX",S Antonio/stinsn, TX
KSSM,northamerica,46.47,-84.37,"Sault Ste Marie, Mi, United States",Sault Ste Marie,MI
KSTC,northamerica,45.55,-94.05,"St. Cloud, MN",St. Cloud, MN
KSTJ,northamerica,39.7667,-94.9167,"St. Joseph, MO",St. Joseph, MO
KSTL,northamerica,38.75,-90.3667,"St. Louis, MO",St. Louis, MO
KSTS,northamerica,38.5,-122.817,"Santa Rosa, CA",Santa Rosa, CA
KSUX,northamerica,42.3833,-96.3833,"Sioux City, IA",Sioux City, IA
KSWO,northamerica,36.1667,-97.0833,"Stillwater, OK",Stillwater, OK
KSWW,northamerica,32.4667,-100.467,"Sweetwater, TX",Sweetwater, TX
KSYR,northamerica,43.1167,-76.1,"Syracuse, NY",Syracuse, NY
KTHV,northamerica,39.9167,-76.8833,"York, PA",York, PA
KTLH,northamerica,30.4,-84.35,"Tallahassee, FL",Tallahassee, FL
KTOL,northamerica,41.5833,-83.8,"Toledo, OH",Toledo, OH
KTOP,northamerica,39.0667,-95.6333,"Topeka, KS",Topeka, KS
KTPA,northamerica,27.9667,-82.5333,"Tampa, FL",Tampa, FL
KTRI,northamerica,36.4833,-82.4,"Bristol, TN",Bristol, TN
KTRK,northamerica,39.32,-120.139,"Truckee-tahoe, United states",Truckee-tahoe, United states
KTTN,northamerica,40.2833,-74.8167,"Trenton, NJ",Trenton, NJ
KTUL,northamerica,36.2,-95.8833,"Tulsa, OK",Tulsa, OK
KTUS,northamerica,32.1333,-110.95,"Tucson, AZ",Tucson, AZ
KTVR,northamerica,32.35,-91.0333,"Tallulah/vicksbu, LA",Tallulah/vicksbu, LA
KTYR,northamerica,32.3667,-95.4,"Tyler, TX",Tyler, TX
KTYS,northamerica,35.8167,-83.9833,"Knoxville, TN",Knoxville, TN
KUIL,northamerica,47.9333,-124.55,"Quillayute, WA",Quillayute, WA
KUIN,northamerica,39.95,-91.2,"Quincy Muni/bald, IL",Quincy Muni/bald, IL
KVCB,northamerica,38.3833,-121.95,"Vacaville, CA",Vacaville, CA
KVCT,northamerica,28.8667,-96.9333,"Victoria, TX",Victoria, TX
KVCV,northamerica,34.583,-117.383,"S Calif Logistics, United states",S Calif Logistics,CA
KVIS,northamerica,36.3135,-119.388,"Visalia Airport, CA",Visalia Airport, CA
KVLD,northamerica,30.7667,-83.2667,"Valdosta Regiona, GA",Valdosta Regiona, GA
KVPZ,northamerica,41.45,-87,"Valparaiso, IN",Valparaiso, IN
KVTN,northamerica,42.8667,-100.55,"Valentine, NE",Valentine, NE
KVYS,northamerica,41.35,-89.15,"Peru, IL",Peru, IL
KWLD,northamerica,37.1667,-97.0333,"Winfield/arkansa, KS",Winfield/arkansa, KS
KWMC,northamerica,40.9,-117.8,"Winnemucca, NV",Winnemucca, NV
KXWA,northamerica,48.254,-103.747,"Williston Aprt, ND",Williston Aprt, ND
KYKM,northamerica,46.5667,-120.533,"Yakima, WA",Yakima, WA
KYNG,northamerica,41.25,-80.6667,"Youngstown, OH",Youngstown, OH
KYUM,northamerica,32.667,-114.6,"Yuma Intl Airport, United states",Yuma Intl Airport, United states
MMCS,northamerica,31.633,-106.417,"Abraham Gonzalez In, Mexico",Abraham Gonzalez In, Mexico
MMCU,northamerica,28.7,-105.967,"General R Fierro Vi, Mexico",General R Fierro Vi, Mexico
MMGL,northamerica,20.517,-103.3,"Don Miguel Y Hidalg, Mexico",Don Miguel Y Hidalg, Mexico
MMLO,northamerica,20.983,-101.483,"De Guanajuato Intl, Mexico",De Guanajuato Intl, Mexico
MMMD,northamerica,20.983,-89.65,"Aerop.internacional, Mexico",Aerop.internacional, Mexico
MMMX,northamerica,19.433,-99.067,"Mexico City, MX",Mexico City, MX
MMMY,northamerica,25.7785,-100.107,"Monterrey, NL",Monterrey,Mexico
MMPB,northamerica,19.05,-98.167,"Puebla, Mexico",Puebla, Mexico
MMTJ,northamerica,32.533,-116.967,"General Abelardo L, Mexico",General Abelardo L, Mexico
PAFA,northamerica,64.8,-147.883,"Fairbanks, AK",Fairbanks, AK
PANC,northamerica,61.1667,-150.017,"Anchorage Intl, AK",Anchorage Intl, AK
