Station,Region,Latitude,Longitude,Name,City,Country
LFQQ,europe,50.567,3.1,"Lille Lesqui, France",Lille Lesqui, France
LFRB,europe,48.45,-4.417,"Brest, France",Brest, France
LFRD,europe,48.583,-2.067,"Dinard, France",Dinard, France
LFRH,europe,47.767,-3.45,"L Orient Lann Bihou, France",L Orient Lann Bihou, France
LFRK,europe,49.183,-0.45,"Caen Carpiquet, France",Caen Carpiquet, France
LFRM,europe,47.933,0.2,"Le Mans, France",Le Mans, France
LFRN,europe,48.067,-1.733,"Rennes, France",Rennes, France
LFRS,europe,47.15,-1.6,"Nantes, France",Nantes, France
LFSB,europe,47.6,7.517,"Bale-mulhouse, France",Bale-mulhouse, France
LFSD,europe,47.267,5.083,"Dijon, France",Dijon, France
LFSF,europe,49.083,6.133,"Metz/frescaty, France",Metz/frescaty, France
LFSI,europe,48.633,4.9,"Saint-dizier, France",Saint-dizier, France
LFSN,europe,48.683,6.217,"Nancy-essey, France",Nancy-essey, France
LFSO,europe,48.583,5.967,"Nancy-ochey, France",Nancy-ochey, France
LFSR,europe,49.3,4.033,"Reims-champagne Ab, France",Reims-champagne Ab, France
LFST,europe,48.55,7.633,"Strasbourg-entzheim, France",Strasbourg-entzheim, France
LFSX,europe,47.8,6.383,"Luxeuil, France",Luxeuil, France
LGAD,europe,37.917,21.283,"Andravida (airport), Greece",Andravida (airport), Greece
LGAL,europe,40.85,25.917,"Alexandroupoli /air, Greece",Alexandroupoli /air, Greece
LGAT,europe,37.9,23.733,"Athinai Ap Helliniko, Greece",Athinai Ap Helliniko, Greece
LGEL,europe,38.067,23.55,"Elefsis (airport), Greece",Elefsis (airport), Greece
LGIR,europe,35.333,25.183,"Heraklion (airport), Greece",Heraklion (airport), Greece
LGKC,europe,36.283,23.017,"Kythira, Greece",Kythira, Greece
LGKR,europe,39.617,19.917,"Kerkyra (airport), Greece",Kerkyra (airport), Greece
LGLM,europe,39.917,25.233,"Limnos (airport), Greece",Limnos (airport), Greece
LGLR,europe,39.633,22.417,"Larissa (airport), Greece",Larissa (airport), Greece
LGMT,europe,39.067,26.6,"Mytilini (airport), Greece",Mytilini (airport), Greece
LGPZ,europe,38.617,20.767,"Aktion (airport), Greece",Aktion (airport), Greece
LGRP,europe,36.4,28.083,"Rhodes (airport), Greece",Rhodes (airport), Greece
LGSA,europe,35.483,24.117,"Souda (airport), Greece",Souda (airport), Greece
LGSM,europe,37.7,26.917,"Samos (airport), Greece",Samos (airport), Greece
LGSY,europe,38.967,24.483,"Skyros (airport), Greece",Skyros (airport), Greece
LGTP,europe,37.533,22.4,"Tripolis (airport), Greece",Tripolis (airport), Greece
LGTS,europe,40.517,22.967,"Thessaloniki /airpo, Greece",Thessaloniki /airpo, Greece
LHBC,europe,46.683,21.167,"Bekescsaba, Hungary",Bekescsaba, Hungary
LHBP,europe,47.433,19.267,"Budapest/ferihegy I, Hungary",Budapest/ferihegy I, Hungary
LHDC,europe,47.483,21.6,"Debrecen, Hungary",Debrecen, Hungary
LHKE,europe,46.917,19.75,"Kecskemet, Hungary",Kecskemet, Hungary
LHNY,europe,47.967,21.883,"Nyiregyhaza/napkor, Hungary",Nyiregyhaza/napkor, Hungary
LHOY,europe,46.183,19.017,"Baja, Hungary",Baja, Hungary
LHPA,europe,47.2,17.5,"Papa, Hungary",Papa, Hungary
LHPP,europe,46,18.233,"Pecs/pogany, Hungary",Pecs/pogany, Hungary
LHPR,europe,47.717,17.683,"Gyor, Hungary",Gyor, Hungary
LHSM,europe,46.683,17.15,"Balaton, Hungary",Balaton, Hungary
LHSN,europe,47.117,20.233,"Szolnok, Hungary",Szolnok, Hungary
LIBA,europe,41.533,15.717,"Amendola, Italy",Amendola, Italy
LIBC,europe,39,17.067,"Crotone, Italy",Crotone, Italy
LIBD,europe,41.133,16.75,"Bari/palese Macchie, Italy",Bari/palese Macchie, Italy
LIBG,europe,40.517,17.4,"Grottaglie, Italy",Grottaglie, Italy
LIBN,europe,40.233,18.15,"Lecce, Italy",Lecce, Italy
LIBP,europe,42.433,14.2,"Pescara, Italy",Pescara, Italy
LIBR,europe,40.65,17.95,"Brindisi, Italy",Brindisi, Italy
LIBV,europe,40.767,16.933,"Gioia Del Colle, Italy",Gioia Del Colle, Italy
LICA,europe,38.9,16.25,"Lamezia Terme, Italy",Lamezia Terme, Italy
LICC,europe,37.467,15.05,"Catania/fontanaross, Italy",Catania/fontanaross, Italy
LICJ,europe,38.183,13.1,"Palermo/punta Raisi, Italy",Palermo/punta Raisi, Italy
LICR,europe,38.067,15.65,"Reggio Calabria, Italy",Reggio Calabria, Italy
LICT,europe,37.917,12.5,"Trapani/birgi, Italy",Trapani/birgi, Italy
LICZ,europe,37.4,14.917,"Catania/sigonella, Italy",Catania/sigonella, Italy
LIEA,europe,40.633,8.283,"Alghero, Italy",Alghero, Italy
LIEE,europe,39.25,9.067,"Cagliari/elmas, Italy",Cagliari/elmas, Italy
LIEO,europe,40.9,9.517,"Olbia/costa Smerald, Italy",Olbia/costa Smerald, Italy
LIMC,europe,45.617,8.733,"Milano/malpensa, Italy",Milano/malpensa, Italy
LIME,europe,45.667,9.7,"Bergamo/orio Al Ser, Italy",Bergamo/orio Al Ser, Italy
LIMF,europe,45.217,7.65,"Torino/caselle, Italy",Torino/caselle, Italy
LIMG,europe,44.05,8.117,"Albenga, Italy",Albenga, Italy
LIMJ,europe,44.417,8.85,"Genova/sestri, Italy",Genova/sestri, Italy
LIMK,europe,45.033,7.733,"Torino/bric Della C, Italy",Torino/bric Della C, Italy
LIML,europe,45.45,9.267,"Milano/linate, Italy",Milano/linate, Italy
LIMS,europe,44.917,9.733,"Piacenza, Italy",Piacenza, Italy
LIPA,europe,46.033,12.6,"Aviano, Italy",Aviano, Italy
LIPB,europe,46.467,11.333,"Bolzano, Italy",Bolzano, Italy
LIPC,europe,44.217,12.3,"Cervia, Italy",Cervia, Italy
LIPE,europe,44.533,11.3,"Bologna/borgo Panig, Italy",Bologna/borgo Panig, Italy
LIPK,europe,44.2,12.067,"Forli, Italy",Forli, Italy
LIPL,europe,45.417,10.283,"Brescia/ghedi, Italy",Brescia/ghedi, Italy
LIPQ,europe,45.817,13.483,"Ronchi Dei Legionar, Italy",Ronchi Dei Legionar, Italy
LIPR,europe,44.033,12.617,"Rimini, Italy",Rimini, Italy
LIPS,europe,45.683,12.1,"Treviso/istrana, Italy",Treviso/istrana, Italy
LIPX,europe,45.383,10.867,"Verona/villafranca, Italy",Verona/villafranca, Italy
LIPY,europe,43.617,13.367,"Falconara, Italy",Falconara, Italy
LIPZ,europe,45.5,12.333,"Venezia/tessera, Italy",Venezia/tessera, Italy
LIRF,europe,41.8,12.233,"Roma Fiumicino, Italy",Roma Fiumicino, Italy
LIRG,europe,42,12.733,"Guidonia, Italy",Guidonia, Italy
LIRL,europe,41.55,12.9,"Latina, Italy",Latina, Italy
LIRN,europe,40.85,14.3,"Napoli/capodichino, Italy",Napoli/capodichino, Italy
LIRP,europe,43.683,10.383,"Pisa/s. Giusto, Italy",Pisa/s. Giusto, Italy
LIRQ,europe,43.8,11.2,"Firenze/peretola, Italy",Firenze/peretola, Italy
LIRS,europe,42.75,11.083,"Grosseto, Italy",Grosseto, Italy
LIRU,europe,41.95,12.5,"Roma/urbe, Italy",Roma/urbe, Italy
LIRV,europe,42.433,12.05,"Viterbo, Italy",Viterbo, Italy
LIVT,europe,45.65,13.75,"Trieste, Italy",Trieste, Italy
LKCS,europe,48.933,14.417,"Ceske Budejovice, Czech republic",Ceske Budejovice, Czech republic
LKKV,europe,50.217,12.917,"Karlovy Vary, Czech republic",Karlovy Vary, Czech republic
LKLB,europe,50.767,15.017,"Liberec, Czech republic",Liberec, Czech republic
LKMT,europe,49.683,18.117,"Ostrava/mosnov, Czech republic",Ostrava/mosnov, Czech republic
LKNA,europe,49.167,16.117,"Namest Nad Oslav, Czech republic",Namest Nad Oslav, Czech republic
LKPI,europe,49.583,15.767,"Pribyslav, Czech Republic",Pribyslav, Czech Republic
LKPM,europe,49.467,13.833,"Kocelovice, Czech Republic",Kocelovice, Czech Republic
LKPO,europe,49.417,17.4,"Prerov, Czech republic",Prerov, Czech republic
LKPR,europe,50.1,14.25,"Praha/ruzyne, Czech republic",Praha/ruzyne, Czech republic
LKTB,europe,49.15,16.683,"Brno/turany, Czech republic",Brno/turany, Czech republic
LLBG,europe,32,34.9,"Ben-gurion Int. Air, Israel",Ben-gurion Int. Air, Israel
LLET,europe,29.55,34.95,"Eilat, Israel",Eilat, Israel
LMML,europe,35.85,14.483,"Luqa, Malta",Luqa, Malta
LOWG,europe,47,15.433,"Graz-thalerhof-flug, Austria",Graz-thalerhof-flug, Austria
LOWI,europe,47.267,11.35,"Innsbruck-flughafen, Austria",Innsbruck-flughafen, Austria
LOWK,europe,46.65,14.333,"Klagenfurt-flughafe, Austria",Klagenfurt-flughafe, Austria
LOWL,europe,48.233,14.183,"Linz/hoersching-flu, Austria",Linz/hoersching-flu, Austria
LOWM,europe,47.85,16.533,"Eisenstadt, Austria",Eisenstadt, Austria
LOWS,europe,47.8,13,"Salzburg-flughafen, Austria",Salzburg-flughafen, Austria
LOWW,europe,48.117,16.567,"Wien/schwechat-flug, Austria",Wien/schwechat-flug, Austria
LOXT,europe,48.317,16.117,"Tulln Langenlebarn, Austria",Tulln Langenlebarn, Austria
LOXZ,europe,47.2,14.75,"Zeltweg, Austria",Zeltweg, Austria
LPBG,europe,41.8,-6.733,"Braganca, Portugal",Braganca, Portugal
LPBJ,europe,38.017,-7.867,"Beja, Portugal",Beja, Portugal
LPFR,europe,37.017,-7.967,"Faro/aeroporto, Portugal",Faro/aeroporto, Portugal
LPPR,europe,41.233,-8.683,"Porto/pedras Rubras, Portugal",Porto/pedras Rubras, Portugal
LPPT,europe,38.767,-9.133,"Lisboa/portela, Portugal",Lisboa/portela, Portugal
LQSA,europe,43.817,18.333,"Sarajevo/butmir, Bosnia and herzegovina",Sarajevo/butmir, Bosnia and herzegovina
LRAR,europe,46.133,21.35,"Arad, Romania",Arad, Romania
LRBC,europe,46.533,26.917,"Bacau, Romania",Bacau, Romania
LRBS,europe,44.483,26.117,"Bucuresti Inmh-bane, Romania",Bucuresti Inmh-bane, Romania
LRCK,europe,44.333,28.433,"Kogalniceanu, Romania",Kogalniceanu, Romania
LRCL,europe,46.783,23.567,"Cluj-napoca, Romania",Cluj-napoca, Romania
LRCS,europe,45.417,22.217,"Caransebes, Romania",Caransebes, Romania
LRCV,europe,44.317,23.867,"Craiova, Romania",Craiova, Romania
LRIA,europe,47.167,27.633,"Iasi, Romania",Iasi, Romania
LROD,europe,47.033,21.9,"Oradea, Romania",Oradea, Romania
LROP,europe,44.483,26.183,"Bucuresti Afumati, Romania",Bucuresti Afumati, Romania
LRSB,europe,45.783,24.083,"Sibiu, Romania",Sibiu, Romania
LRSM,europe,47.717,22.883,"Satu Mare, Romania",Satu Mare, Romania
LRTC,europe,45.183,28.817,"Tulcea, Romania",Tulcea, Romania
LRTM,europe,46.533,24.533,"Tg. Mures, Romania",Tg. Mures, Romania
LRTR,europe,45.767,21.25,"Timisoara, Romania",Timisoara, Romania
LSGG,europe,46.25,6.133,"Geneve-cointrin, Switzerland",Geneve-cointrin, Switzerland
LSGS,europe,46.217,7.333,"Sion, Switzerland",Sion, Switzerland
LSMP,europe,46.817,6.95,"Payerne, Switzerland",Payerne, Switzerland
LSZA,europe,46,8.967,"Lugano, Switzerland",Lugano, Switzerland
LSZH,europe,47.483,8.533,"Zurich-kloten, Switzerland",Zurich-kloten, Switzerland
LTAC,europe,40.117,33,"Esenboga, Turkey",Esenboga, Turkey
LTAD,europe,39.95,32.683,"Etimesgut, Turkey",Etimesgut, Turkey
LTAG,europe,37,35.417,"Adana/incirlik, Turkey",Adana/incirlik, Turkey
LTAI,europe,36.867,30.733,"Antalya, Turkey",Antalya, Turkey
LTAN,europe,37.967,32.549,"Konya, Turkey",Konya, Turkey
LTAP,europe,40.85,35.583,"Merzifon, Turkey",Merzifon, Turkey
LTAR,europe,39.75,37.017,"Sivas, Turkey",Sivas, Turkey
LTAS,europe,41.45,31.8,"Zonguldak, Turkey",Zonguldak, Turkey
LTAT,europe,38.433,38.083,"Malatya/erhac, Turkey",Malatya/erhac, Turkey
LTAU,europe,38.817,35.433,"Kayseri/erkilet, Turkey",Kayseri/erkilet, Turkey
LTBA,europe,40.967,28.817,"Istanbul/ataturk, Turkey",Istanbul/ataturk, Turkey
LTBE,europe,40.183,29.067,"Bursa, Turkey",Bursa, Turkey
LTBF,europe,39.617,27.917,"Balikesir, Turkey",Balikesir, Turkey
LTBG,europe,40.317,27.967,"Bandirma, Turkey",Bandirma, Turkey
LTBH,europe,40.133,26.4,"Canakkale, Turkey",Canakkale, Turkey
LTBI,europe,39.783,30.567,"Eskisehir, Turkey",Eskisehir, Turkey
LTBL,europe,38.517,27.017,"Izmir/cigli, Turkey",Izmir/cigli, Turkey
LTBM,europe,37.75,30.55,"Isparta, Turkey",Isparta, Turkey
LTBT,europe,38.917,27.85,"Akhisar, Turkey",Akhisar, Turkey
LTCA,europe,38.6,39.283,"Elazig, Turkey",Elazig, Turkey
LTCC,europe,37.883,40.183,"Diyarbakir, Turkey",Diyarbakir, Turkey
LTCD,europe,39.7,39.517,"Erzincan, Turkey",Erzincan, Turkey
LTCE,europe,39.95,41.167,"Erzurum, Turkey",Erzurum, Turkey
LTCG,europe,41,39.717,"Trabzon, Turkey",Trabzon, Turkey
LTCI,europe,38.467,43.35,"Van, Turkey",Van, Turkey
LTCM,europe,42.033,35.167,"Sinop, Turkey",Sinop, Turkey
LUKK,europe,46.917,28.933,"Chisinau, Moldova",Chisinau, Moldova
LWSK,europe,41.967,21.65,"Skopje- Airport, Macedonia",Skopje- Airport, Macedonia
LXGB,europe,36.15,-5.35,"Gibraltar, Gibraltar",Gibraltar, Gibraltar
LYBE,europe,44.817,20.283,"Beograd/surcin, RI",Beograd/surcin, RI
LZIB,europe,48.2,17.2,"Bratislava-letisko, Slovakia",Bratislava-letisko, Slovakia
LZNI,europe,48.283,18.133,"Nitra, Slovakia",Nitra, Slovakia
LZTT,europe,49.067,20.25,"Poprad/tatry, Slovakia",Poprad/tatry, Slovakia
OJAM,europe,31.983,35.983,"Amman Airport, Jordan",Amman Airport, Jordan
OSDI,europe,33.417,36.517,"Damascus Int. Airpo, Syria",Damascus Int. Airpo, Syria
OSDZ,europe,35.317,40.15,"Deir Ezzor, Syria",Deir Ezzor, Syria
UKBB,europe,50.333,30.967,"Boryspil, Ukraine",Boryspil, Ukraine
UKCC,europe,48.067,37.733,"Donetsk, Ukraine",Donetsk, Ukraine
UKCM,europe,47.033,37.5,"Mariupol, Ukraine",Mariupol, Ukraine
UKDD,europe,48.533,34.667,"Dnipropetrovsk, Ukraine",Dnipropetrovsk, Ukraine
UKDE,europe,47.8,35.017,"Zaporizhzhia, Ukraine",Zaporizhzhia, Ukraine
UKDR,europe,48.033,33.2,"Lozuvatka, Ukraine",Lozuvatka, Ukraine
UKFF,europe,44.683,34.133,"Simferopol, Ukraine",Simferopol, Ukraine
UKHH,europe,49.967,36.133,"Kharkiv, Ukraine",Kharkiv, Ukraine
UKHP,europe,49.6,34.55,"Poltava Suprunovka Arpt, Ukraine",Poltava Suprunovka Arpt, Ukraine
UKHS,europe,50.85,34.667,"Sumy, Ukraine",Sumy, Ukraine
UKKG,europe,48.517,32.2,"Kirovohrad, Ukraine",Kirovohrad, Ukraine
UKKK,europe,50.4,30.567,"Kyiv, Ukraine",Kyiv, Ukraine
UKLL,europe,49.817,23.95,"Lviv, Ukraine",Lviv, Ukraine
UKLN,europe,48.25,25.983,"Chernivtsi, Ukraine",Chernivtsi, Ukraine
UKLR,europe,50.583,26.133,"Rivne, Ukraine",Rivne, Ukraine
UKLT,europe,49.533,25.667,"Ternopil, Ukraine",Ternopil, Ukraine
UKLU,europe,48.633,22.267,"Uzhhorod, Ukraine",Uzhhorod, Ukraine
UKOH,europe,46.633,32.567,"Kherson, Ukraine",Kherson, Ukraine
UKOO,europe,46.433,30.767,"Odesa, Ukraine",Odesa, Ukraine
UKRR,europe,51.467,31.25,"Chernihiv, Ukraine",Chernihiv, Ukraine
ULAA,europe,64.5,40.716,"Arhangelsk, Russia",Arhangelsk, Russia
ULKK,europe,61.233,46.683,"Kotlas, Russia",Kotlas, Russia
ULLI,europe,59.8,30.263,"Pulkovo, Russia",Pulkovo, Russia
ULMM,europe,68.967,33.05,"Murmansk, Russia",Murmansk, Russia
ULPB,europe,61.817,34.267,"Petrozavodsk, Russia",Petrozavodsk, Russia
ULWW,europe,59.317,39.917,"Vologda, Russia",Vologda, Russia
UMBB,europe,52.117,23.683,"Brest, Belarus",Brest, Belarus
UMGG,europe,52.4,30.95,"Gomel, Belarus",Gomel, Belarus
UMII,europe,55.167,30.217,"Vitebsk, Belarus",Vitebsk, Belarus
UMKK,europe,54.717,20.55,"Kaliningrad, Russia",Kaliningrad, Russia
UMMM,europe,53.933,27.633,"Minsk, Belarus",Minsk, Belarus
URKK,europe,45.033,39.15,"Krasnodar, Russia",Krasnodar, Russia
URMM,europe,44.233,43.067,"Mineralnye Vody, Russia",Mineralnye Vody, Russia
URMO,europe,43.033,44.683,"Vladikavkaz, Russia",Vladikavkaz, Russia
URRP,europe,47.4939,39.9247,"Platov International Airport, Russia",Platov International Airport, Russia
URRR,europe,47.25,39.817,"Rostov-na-donu, Russia",Rostov-na-donu, Russia
URSS,europe,43.433,39.9,"Sochi (adler), Russia",Sochi (adler), Russia
URWW,europe,48.783,44.346,"Volgograd, Russia",Volgograd, Russia
UUEE,europe,55.967,37.417,"Sheremetyevo, Russia",Sheremetyevo, Russia
UUWW,europe,55.583,37.25,"Vnukovo, Russia",Vnukovo, Russia
UWPP,europe,53.117,45.017,"Penza, Russia",Penza, Russia
UWSG,europe,51.713,46.171,"Saratova/gagarin Arpt, Russia",Saratova/gagarin Arpt, Russia
UWSS,europe,51.55,46.033,"Saratov, Russia",Saratov, Russia
